ACC,ARI,NMI,SC,dataset,method,seed,train_batch_size,learning_rate,K
33.44,18.31,41.85,0.3327631652355194,banking,DKT,42,128,0.0003,22
31.95,19.49,44.73,0.2552868723869324,banking,DKT,42,400,0.0003,22
37.18,23.11,46.73,0.2410470247268677,banking,DKT,20,400,0.0003,22
37.84,22.69,46.64,0.2904317677021026,banking,DKT,21,400,0.0003,22
40.5,24.75,47.55,0.3087450861930847,banking,DKT,22,400,0.0003,22
41.83,25.9,48.66,0.3259619772434234,banking,DKT,23,400,0.0003,22
38.51,23.74,48.07,0.2774690091609955,banking,DKT,24,400,0.0003,22
45.15,29.73,53.33,0.3228866457939148,banking,DKT,25,400,0.0003,22
41.91,24.84,49.21,0.2756411135196686,banking,DKT,26,400,0.0003,22
36.27,21.55,47.27,0.2788267135620117,banking,DKT,27,400,0.0003,22
35.02,21.3,46.2,0.26183220744133,banking,DKT,28,400,0.0003,22
43.49,23.88,47.28,0.3213178813457489,banking,DKT,29,400,0.0003,22
37.26,22.07,47.15,0.3000407814979553,banking,DKT,30,400,0.0003,22
41.58,24.36,47.68,0.244511753320694,banking,DKT,31,400,0.0003,22
34.94,19.25,43.56,0.2556828558444977,banking,DKT,32,400,0.0003,22
38.26,23.32,46.31,0.2663163542747497,banking,DKT,33,400,0.0003,22
38.26,21.63,47.3,0.2886049151420593,banking,DKT,34,400,0.0003,22
40.25,24.0,48.18,0.2481592148542404,banking,DKT,35,400,0.0003,22
35.85,22.66,45.99,0.2640945315361023,banking,DKT,36,400,0.0003,22
38.67,23.48,45.83,0.2990614175796509,banking,DKT,37,400,0.0003,22
40.83,26.19,49.42,0.2890339493751526,banking,DKT,38,400,0.0003,22
36.35,22.01,47.18,0.3041663467884064,banking,DKT,39,400,0.0003,22
32.53,17.99,35.33,,banking,K-means,42,400,0.0003,22
32.53,17.99,35.33,,banking,K-means,42,400,0.0003,22
32.53,17.99,35.33,,banking,K-means,20,400,0.0003,22
32.53,17.99,35.33,,banking,K-means,20,400,0.0003,22
32.53,17.99,35.33,,banking,K-means,21,400,0.0003,22
32.53,17.99,35.33,,banking,K-means,21,400,0.0003,22
32.53,17.99,35.33,,banking,K-means,22,400,0.0003,22
32.53,17.99,35.33,,banking,K-means,22,400,0.0003,22
32.53,17.99,35.33,,banking,K-means,23,400,0.0003,22
32.53,17.99,35.33,,banking,K-means,23,400,0.0003,22
32.53,17.99,35.33,,banking,K-means,24,400,0.0003,22
32.53,17.99,35.33,,banking,K-means,24,400,0.0003,22
32.53,17.99,35.33,,banking,K-means,25,400,0.0003,22
32.53,17.99,35.33,,banking,K-means,25,400,0.0003,22
40.41,25.88,48.24,,banking,K-means,20,400,0.0003,22
40.41,25.88,48.24,,banking,K-means,20,400,0.0003,22
40.41,25.88,48.24,,banking,K-means,21,400,0.0003,22
40.41,25.88,48.24,,banking,K-means,21,400,0.0003,22
40.41,25.88,48.24,,banking,K-means,22,400,0.0003,22
40.41,25.88,48.24,,banking,K-means,22,400,0.0003,22
40.41,25.88,48.24,,banking,K-means,23,400,0.0003,22
40.41,25.88,48.24,,banking,K-means,23,400,0.0003,22
40.41,25.88,48.24,,banking,K-means,24,400,0.0003,22
40.41,25.88,48.24,,banking,K-means,24,400,0.0003,22
40.41,25.88,48.24,,banking,K-means,25,400,0.0003,22
40.41,25.88,48.24,,banking,K-means,25,400,0.0003,22
45.15,29.73,53.33,0.3228866457939148,banking,DKT,25,400,0.0003,22
50.12,35.69,59.43,,banking,DKT,25,400,0.0003,22
50.12,35.69,59.43,,banking,DKT,25,400,0.0003,22
45.31,30.47,55.4,,banking,DKT,25,400,0.0003,22
45.31,30.47,55.4,,banking,DKT,25,400,0.0003,22
14.36,2.17,12.46,,banking,K-means,25,400,0.0003,22
14.36,2.17,12.46,,banking,K-means,25,400,0.0003,22
18.09,5.36,19.74,,banking,K-means,25,400,0.0003,22
18.09,5.36,19.74,,banking,K-means,25,400,0.0003,22
48.55,30.53,54.86,0.3306366503238678,banking,DKT,42,400,0.0003,22
52.37,37.09,59.55,,banking,K-means,42,400,0.0003,22
52.37,37.09,59.55,,banking,K-means,42,400,0.0003,22
38.51,23.3,39.99,,banking,K-means,42,400,0.0003,22
38.51,23.3,39.99,,banking,K-means,42,400,0.0003,22
52.37,37.09,59.55,,banking,K-means,42,400,0.0003,22
52.37,37.09,59.55,,banking,K-means,42,400,0.0003,22
55.1,39.83,61.4,,banking,DKT,42,400,0.0003,22
55.1,39.83,61.4,,banking,DKT,42,400,0.0003,22
