ACC,ARI,NMI,SC,dataset,method,known_cls_ratio,cluster_num_factor,seed,train_batch_size,learning_rate,K
94.44,89.75,95.25,0.6543843746185303,clinc,DKT,0.8,2.0,24,400,0.0003,30
94.22,89.52,94.95,0.6472694873809814,clinc,DKT,0.8,2.0,25,400,0.0003,30
90.67,85.79,93.56,0.609350323677063,clinc,DKT,0.8,2.0,26,400,0.0003,30
93.56,88.58,94.66,0.6471943259239197,clinc,DKT,0.8,2.0,27,400,0.0003,30
93.78,88.83,94.68,0.651924192905426,clinc,DKT,0.8,2.0,28,400,0.0003,30
94.44,89.62,95.03,0.6588072776794434,clinc,DKT,0.8,2.0,29,400,0.0003,30
92.22,87.9,94.27,0.6459665298461914,clinc,DKT,0.8,2.0,30,400,0.0003,30
96.0,92.25,96.37,0.6578741669654846,clinc,DKT,0.8,2.0,31,400,0.0003,30
93.33,87.41,94.29,0.6491989493370056,clinc,DKT,0.8,2.0,32,400,0.0003,30
93.56,88.67,94.8,0.6599902510643005,clinc,DKT,0.8,2.0,33,400,0.0003,30
93.33,88.34,94.67,0.6723780035972595,clinc,DKT,0.8,2.0,34,400,0.0003,30
90.89,86.96,94.01,0.6491054892539978,clinc,DKT,0.8,2.0,35,400,0.0003,30
93.33,87.88,94.68,0.6561141610145569,clinc,DKT,0.8,2.0,36,400,0.0003,30
96.0,92.07,96.22,0.6618993878364563,clinc,DKT,0.8,2.0,37,400,0.0003,30
94.22,89.45,94.85,0.6640276312828064,clinc,DKT,0.8,2.0,38,400,0.0003,30
91.33,86.18,93.53,0.6283634305000305,clinc,DKT,0.8,2.0,39,400,0.0003,30
92.0,85.61,92.14,0.6413784027099609,clinc,DKT,0.9,2.0,10,512,0.0003,15
94.22,88.2,93.18,0.6461263298988342,clinc,DKT,0.9,2.0,11,512,0.0003,15
80.89,74.84,86.61,0.577846884727478,clinc,DKT,0.9,2.0,12,512,0.0003,15
84.0,76.34,87.65,0.5544019341468811,clinc,DKT,0.9,2.0,13,512,0.0003,15
88.0,78.29,87.64,0.5806334018707275,clinc,DKT,0.9,2.0,14,512,0.0003,15
95.11,89.91,93.93,0.682928204536438,clinc,DKT,0.9,2.0,15,512,0.0003,15
88.0,80.27,89.21,0.5747790336608887,clinc,DKT,0.9,2.0,16,512,0.0003,15
95.11,89.9,93.86,0.6369156837463379,clinc,DKT,0.9,2.0,17,512,0.0003,15
94.67,88.96,93.32,0.6585695147514343,clinc,DKT,0.9,2.0,18,512,0.0003,15
89.33,79.72,89.26,0.5845194458961487,clinc,DKT,0.9,2.0,19,512,0.0003,15
97.33,94.4,97.12,0.6533063650131226,clinc,DKT,0.9,2.0,20,512,0.0003,15
84.44,80.54,90.02,0.5730808973312378,clinc,DKT,0.9,2.0,21,512,0.0003,15
94.67,88.92,93.31,0.6300522089004517,clinc,DKT,0.9,2.0,22,512,0.0003,15
89.78,81.67,90.32,0.5843023061752319,clinc,DKT,0.9,2.0,23,512,0.0003,15
88.89,83.25,91.34,0.6026273369789124,clinc,DKT,0.9,2.0,24,512,0.0003,15
95.56,90.91,94.76,0.6693111062049866,clinc,DKT,0.9,2.0,25,512,0.0003,15
90.22,82.61,90.53,0.6224198341369629,clinc,DKT,0.9,2.0,26,512,0.0003,15
88.89,82.34,90.46,0.5851854085922241,clinc,DKT,0.9,2.0,27,512,0.0003,15
93.78,87.19,92.05,0.6497635841369629,clinc,DKT,0.9,2.0,28,512,0.0003,15
93.78,87.92,93.9,0.6173946261405945,clinc,DKT,0.9,2.0,29,512,0.0003,15
94.67,89.76,94.2,0.6150991320610046,clinc,DKT,0.9,2.0,30,512,0.0003,15
96.0,91.52,95.01,0.6587796807289124,clinc,DKT,0.9,2.0,31,512,0.0003,15
83.56,78.62,89.33,0.5705702304840088,clinc,DKT,0.9,2.0,32,512,0.0003,15
94.22,88.49,93.24,0.6100393533706665,clinc,DKT,0.9,2.0,33,512,0.0003,15
94.67,89.02,93.33,0.6319659948348999,clinc,DKT,0.9,2.0,34,512,0.0003,15
89.33,81.27,89.6,0.5771417021751404,clinc,DKT,0.9,2.0,35,512,0.0003,15
95.56,91.29,95.52,0.5691598653793335,clinc,DKT,0.9,2.0,36,512,0.0003,15
94.67,89.52,93.98,0.6872791647911072,clinc,DKT,0.9,2.0,37,512,0.0003,15
94.67,88.74,93.0,0.6029477119445801,clinc,DKT,0.9,2.0,38,512,0.0003,15
96.89,93.28,95.98,0.6478760242462158,clinc,DKT,0.9,2.0,39,512,0.0003,15
89.78,85.01,92.08,0.6060236096382141,clinc,DKT,0.9,2.0,0,512,0.0003,15
96.89,93.34,95.77,0.682839572429657,clinc,DKT,0.9,2.0,1,512,0.0003,15
96.0,91.93,95.49,0.6647230386734009,clinc,DKT,0.9,2.0,2,512,0.0003,15
86.67,80.18,89.3,0.5792077779769897,clinc,DKT,0.9,2.0,3,512,0.0003,15
95.11,89.73,94.11,0.6568809747695923,clinc,DKT,0.9,2.0,4,512,0.0003,15
92.89,85.65,91.71,0.6354906558990479,clinc,DKT,0.9,2.0,5,512,0.0003,15
97.33,94.18,96.36,0.6275391578674316,clinc,DKT,0.9,2.0,6,512,0.0003,15
93.33,87.74,93.33,0.5576334595680237,clinc,DKT,0.9,2.0,7,512,0.0003,15
96.44,92.54,95.7,0.6270342469215393,clinc,DKT,0.9,2.0,8,512,0.0003,15
92.89,86.16,92.22,0.6053669452667236,clinc,DKT,0.9,2.0,9,512,0.0003,15
88.67,82.94,92.38,0.6300782561302185,clinc,DKT,0.8,2.0,0,400,0.0003,30
94.22,89.58,95.26,0.6449970602989197,clinc,DKT,0.8,2.0,1,400,0.0003,30
96.0,91.95,95.91,0.6482548713684082,clinc,DKT,0.8,2.0,2,400,0.0003,30
92.44,88.78,94.73,0.6605979204177856,clinc,DKT,0.8,2.0,3,400,0.0003,30
89.78,84.89,93.28,0.6538229584693909,clinc,DKT,0.8,2.0,4,400,0.0003,30
90.67,86.41,93.79,0.6386827230453491,clinc,DKT,0.8,2.0,5,400,0.0003,30
94.22,89.2,94.91,0.6151188611984253,clinc,DKT,0.8,2.0,6,400,0.0003,30
94.44,89.99,95.34,0.6592437624931335,clinc,DKT,0.8,2.0,7,400,0.0003,30
96.0,92.03,96.29,0.6678916811943054,clinc,DKT,0.8,2.0,8,400,0.0003,30
91.11,84.41,92.71,0.6333268284797668,clinc,DKT,0.8,2.0,9,400,0.0003,30
65.94,50.45,61.5,0.4561378359794617,banking,DKT,0.9,2.0,42,400,0.0003,8
71.56,53.32,65.65,0.4464176297187805,banking,DKT,0.9,2.0,0,400,0.0003,8
65.62,49.39,64.34,0.4529528021812439,banking,DKT,0.9,2.0,1,400,0.0003,8
81.56,66.24,75.36,0.5738922357559204,banking,DKT,0.9,2.0,2,400,0.0003,8
73.12,55.43,66.12,0.4770891070365906,banking,DKT,0.9,2.0,3,400,0.0003,8
83.12,69.97,76.83,0.4269947111606598,banking,DKT,0.9,2.0,4,400,0.0003,8
72.5,56.01,67.61,0.4018505215644837,banking,DKT,0.9,2.0,5,400,0.0003,8
79.69,62.47,71.42,0.4499965310096741,banking,DKT,0.9,2.0,6,400,0.0003,8
69.06,56.59,66.92,0.4165209233760834,banking,DKT,0.9,2.0,7,400,0.0003,8
62.5,47.25,60.69,0.4282604157924652,banking,DKT,0.9,2.0,8,400,0.0003,8
70.62,56.35,68.48,0.4910443425178528,banking,DKT,0.9,2.0,9,400,0.0003,8
72.81,54.7,67.1,0.4680834710597992,banking,DKT,0.9,2.0,10,400,0.0003,8
81.56,64.41,72.31,0.5095460414886475,banking,DKT,0.9,2.0,11,400,0.0003,8
73.44,59.41,70.02,0.5099124908447266,banking,DKT,0.9,2.0,12,400,0.0003,8
75.94,59.91,69.7,0.5019810795783997,banking,DKT,0.9,2.0,13,400,0.0003,8
80.94,64.5,72.94,0.5433411598205566,banking,DKT,0.9,2.0,14,400,0.0003,8
75.31,60.91,69.96,0.4453864991664887,banking,DKT,0.9,2.0,15,400,0.0003,8
74.38,55.02,67.0,0.4391070306301117,banking,DKT,0.9,2.0,16,400,0.0003,8
75.0,55.49,65.81,0.4265042841434479,banking,DKT,0.9,2.0,17,400,0.0003,8
75.31,56.92,68.04,0.4669840335845947,banking,DKT,0.9,2.0,18,400,0.0003,8
76.88,62.9,72.2,0.43465033173561096,banking,DKT,0.9,2.0,19,400,0.0003,8
59.06,47.82,64.08,0.39649352431297297,banking,DKT,0.9,2.0,20,400,0.0003,8
82.81,68.87,75.95,0.4883150160312653,banking,DKT,0.9,2.0,21,400,0.0003,8
66.25,49.83,62.18,0.4303925633430481,banking,DKT,0.9,2.0,22,400,0.0003,8
66.56,50.42,62.73,0.4209247529506683,banking,DKT,0.9,2.0,23,400,0.0003,8
75.62,55.79,68.17,0.4702400267124176,banking,DKT,0.9,2.0,24,400,0.0003,8
77.19,59.75,70.64,0.4604264199733734,banking,DKT,0.9,2.0,25,400,0.0003,8
64.69,48.77,62.93,0.4351809918880463,banking,DKT,0.9,2.0,26,400,0.0003,8
75.0,54.3,65.25,0.4607710242271423,banking,DKT,0.9,2.0,27,400,0.0003,8
81.25,65.46,73.58,0.4537798762321472,banking,DKT,0.9,2.0,28,400,0.0003,8
78.12,62.3,69.8,0.4985876083374024,banking,DKT,0.9,2.0,29,400,0.0003,8
83.75,69.72,76.13,0.4776110649108887,banking,DKT,0.9,2.0,30,400,0.0003,8
69.06,53.14,63.7,0.4305385649204254,banking,DKT,0.9,2.0,31,400,0.0003,8
72.5,56.7,68.63,0.4796644151210785,banking,DKT,0.9,2.0,32,400,0.0003,8
82.19,67.34,74.52,0.4302808344364166,banking,DKT,0.9,2.0,33,400,0.0003,8
73.75,58.29,68.3,0.4697590470314026,banking,DKT,0.9,2.0,34,400,0.0003,8
64.69,44.71,58.95,0.4206728339195252,banking,DKT,0.9,2.0,35,400,0.0003,8
61.25,40.64,55.94,0.3904353678226471,banking,DKT,0.9,2.0,36,400,0.0003,8
89.38,77.43,81.86,0.5239671468734741,banking,DKT,0.9,2.0,37,400,0.0003,8
68.75,54.57,65.9,0.4390376210212708,banking,DKT,0.9,2.0,38,400,0.0003,8
76.25,57.04,68.42,0.4486153721809387,banking,DKT,0.9,2.0,39,400,0.0003,8
