ACC,ARI,NMI,dataset,method,known_cls_ratio,cluster_num_factor,seed,train_batch_size,learning_rate,K
88.6,81.92,92.9,clinc,DKT,0.75,2.0,42,512,0.0003,38
87.37,82.25,93.07,clinc,DKT,0.75,2.0,0,512,0.0003,38
93.16,90.42,96.07,clinc,DKT,0.75,2.0,1,512,0.0003,38
92.46,87.21,94.85,clinc,DKT,0.75,2.0,2,512,0.0003,38
86.67,81.49,92.56,clinc,DKT,0.75,2.0,3,512,0.0003,38
87.19,83.1,93.57,clinc,DKT,0.75,2.0,4,512,0.0003,38
85.61,76.85,90.89,clinc,DKT,0.75,2.0,0,400,0.0003,38
91.93,87.42,95.31,clinc,DKT,0.75,2.0,1,400,0.0003,38
91.93,87.14,94.69,clinc,DKT,0.75,2.0,2,400,0.0003,38
85.79,79.6,91.5,clinc,DKT,0.75,2.0,0,512,0.0003,38
90.7,85.51,93.95,clinc,DKT,0.75,2.0,1,512,0.0003,38
94.04,88.84,95.4,clinc,DKT,0.75,2.0,2,512,0.0003,38
88.25,82.43,93.52,clinc,DKT,0.75,2.0,3,512,0.0003,38
87.72,83.58,93.34,clinc,DKT,0.75,2.0,4,512,0.0003,38
91.4,86.54,94.65,clinc,DKT,0.75,2.0,10,512,0.0003,38
86.14,82.31,92.65,clinc,DKT,0.75,2.0,11,512,0.0003,38
88.25,83.32,93.45,clinc,DKT,0.75,2.0,12,512,0.0003,38
93.51,89.41,95.44,clinc,DKT,0.75,2.0,13,512,0.0003,38
86.14,79.83,91.87,clinc,DKT,0.75,2.0,14,512,0.0003,38
87.19,78.95,91.29,clinc,DKT,0.75,2.0,20,512,0.0003,38
93.51,89.69,95.54,clinc,DKT,0.75,2.0,21,512,0.0003,38
90.53,85.7,94.24,clinc,DKT,0.75,2.0,22,512,0.0003,38
92.28,87.64,94.97,clinc,DKT,0.75,2.0,23,512,0.0003,38
91.4,87.41,94.84,clinc,DKT,0.75,2.0,24,512,0.0003,38
90.88,86.88,94.58,clinc,DKT,0.75,2.0,30,512,0.0003,38
90.53,84.27,93.65,clinc,DKT,0.75,2.0,31,512,0.0003,38
95.09,90.46,95.86,clinc,DKT,0.75,2.0,32,512,0.0003,38
87.72,82.19,92.58,clinc,DKT,0.75,2.0,33,512,0.0003,38
89.82,84.49,93.85,clinc,DKT,0.75,2.0,34,512,0.0003,38
92.28,86.85,94.41,clinc,DKT,0.75,2.0,25,512,0.0003,38
91.05,84.44,94.0,clinc,DKT,0.75,2.0,26,512,0.0003,38
88.77,84.14,93.54,clinc,DKT,0.75,2.0,27,512,0.0003,38
91.58,85.85,94.52,clinc,DKT,0.75,2.0,28,512,0.0003,38
91.58,85.98,94.36,clinc,DKT,0.75,2.0,29,512,0.0003,38
91.75,86.98,94.85,clinc,DKT,0.75,2.0,35,512,0.0003,38
89.82,85.45,93.97,clinc,DKT,0.75,2.0,36,512,0.0003,38
90.88,85.98,94.56,clinc,DKT,0.75,2.0,37,512,0.0003,38
95.79,91.81,96.38,clinc,DKT,0.75,2.0,38,512,0.0003,38
93.68,89.59,95.4,clinc,DKT,0.75,2.0,39,512,0.0003,38
