ACC,ARI,NMI,dataset,method,known_cls_ratio,cluster_num_factor,seed,train_batch_size,learning_rate,K
91.93,86.64,94.29,clinc,DKT,0.75,2.0,25,512,0.0003,38
92.28,87.53,94.93,clinc,DKT,0.75,2.0,26,512,0.0003,38
90.18,85.51,93.78,clinc,DKT,0.75,2.0,27,512,0.0003,38
90.35,86.48,94.54,clinc,DKT,0.75,2.0,28,512,0.0003,38
90.18,84.54,94.01,clinc,DKT,0.75,2.0,29,512,0.0003,38
90.0,86.49,94.92,clinc,DKT,0.75,2.0,35,512,0.0003,38
89.82,84.77,93.65,clinc,DKT,0.75,2.0,36,512,0.0003,38
91.58,86.83,94.86,clinc,DKT,0.75,2.0,37,512,0.0003,38
94.56,89.89,95.56,clinc,DKT,0.75,2.0,38,512,0.0003,38
92.11,87.77,94.57,clinc,DKT,0.75,2.0,39,512,0.0003,38
